user_id,tag_id,activity,hours,creation_date
3,4,implemented CRUD feature,10.6,Sat Sep 03 2022
3,3,implemented CRUD feature,7.5,Thu Aug 25 2022
4,4,fix login issue,16.1,Sat Sep 03 2022
1,3,played some games,22.9,Fri Sep 02 2022
3,3,refactored code,15.4,Sun Sep 04 2022
1,3,fix login issue,12.2,Tue Aug 23 2022
5,2,fix login issue,15.7,Tue Sep 06 2022
3,2,refactored code,6.9,Fri Sep 09 2022
1,1,played some games,23.9,Mon Aug 22 2022
3,3,fixing issue,12,Mon Sep 05 2022
3,3,implemented CRUD feature,2.4,Sat Aug 27 2022
5,2,played some games,10.2,Thu Aug 25 2022
2,4,played some games,8.1,Thu Sep 08 2022
5,4,refactored code,1.4,Fri Sep 02 2022
1,3,fixing issue,5.4,Mon Aug 29 2022
2,1,sprint retro,18.5,Sat Sep 10 2022
1,5,implemented CRUD feature,23.3,Sun Aug 28 2022
4,5,attended scrum,20.6,Tue Aug 30 2022
5,1,fix login issue,23.9,Wed Aug 31 2022
1,3,implemented CRUD feature,1.6,Fri Sep 09 2022
4,5,played some games,7.4,Sat Sep 10 2022
4,2,refactored code,11.5,Tue Aug 30 2022
4,3,attended scrum,2.4,Thu Aug 25 2022
1,4,played some games,21.8,Sat Sep 03 2022
5,3,attended scrum,8.9,Tue Aug 30 2022
1,3,refactored code,12.3,Thu Sep 08 2022
1,4,sprint retro,5.8,Sun Aug 21 2022
4,2,played some games,13.3,Wed Aug 31 2022
3,2,refactored code,12.2,Mon Sep 05 2022
2,1,implemented CRUD feature,16.2,Fri Aug 26 2022
4,2,fixing issue,8.6,Thu Aug 25 2022
5,1,fix login issue,8,Tue Aug 23 2022
2,2,fixing issue,12.5,Thu Sep 01 2022
5,3,sprint retro,14.6,Fri Aug 26 2022
2,3,sprint retro,16.4,Sun Aug 28 2022
4,6,fixing issue,4.9,Mon Sep 05 2022
2,2,sprint retro,21.8,Tue Aug 23 2022
1,6,sprint retro,7.5,Thu Sep 01 2022
4,2,fixing issue,23.7,Fri Sep 02 2022
4,5,attended scrum,23.3,Sat Aug 27 2022
2,1,fixing issue,20.1,Wed Sep 07 2022
2,6,fix login issue,14.3,Sat Sep 10 2022
4,1,sprint retro,16.9,Mon Aug 22 2022
4,3,fixing issue,12.8,Sun Aug 21 2022
4,6,sprint retro,15.7,Thu Sep 08 2022
